family,instance,n_vertices,n_edges,ordered_edge_profile_classes,max_sigstar_dim,max_anchored_rank,max_vertex_overlap_rank
cube,cube,8,12,1,3,5,5
petersen,petersen,10,15,1,3,6,6
heawood,heawood,14,21,1,2,8,5
dodecahedral,dodecahedral,20,30,1,2,9,8
K4-lift-2,seed-0,8,12,2,5,5,5
K4-lift-2,seed-1,8,12,1,3,5,5
K4-lift-2,seed-2,8,12,2,5,5,5
K4-lift-2,seed-3,8,12,1,2,3,3
K4-lift-3,seed-0,12,18,3,5,7,7
K4-lift-3,seed-1,12,18,2,4,7,5
K4-lift-3,seed-2,12,18,3,5,7,6
K4-lift-3,seed-3,12,18,3,5,7,7
K4-lift-4,seed-0,16,24,9,5,8,6
K4-lift-4,seed-1,16,24,8,5,9,6
K4-lift-4,seed-2,16,24,5,5,7,5
K4-lift-4,seed-3,16,24,8,5,9,7
K4-lift-5,seed-0,20,30,11,5,8,6
K4-lift-5,seed-1,20,30,15,5,10,6
K4-lift-5,seed-2,20,30,19,5,9,6
K4-lift-5,seed-3,20,30,13,5,9,6
